Recording	Participant	TOI	Interval	Bin	Bin_duration	Category	AOI	Category	Decision	Total_duration_of_fixations
Recording1	Participant 1	Burger	1	6	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	7	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	8	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	9	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	10	426	Meal	Picture	Picture		0
Recording1	Participant 1	Burger	1	1	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	2	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	3	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	4	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	5	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	6	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	7	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	8	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	9	1000	Meal	Price	Price		0
Recording1	Participant 1	Burger	1	10	426	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	1	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	2	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	3	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	4	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	5	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	6	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	7	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	8	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	9	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	10	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	11	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	12	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	13	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	14	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	15	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	16	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	17	1000	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	18	301	Meal	I would buy		I would buy	0
Recording1	Participant 1	Cereals	1	1	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	2	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	3	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	4	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	5	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	6	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	7	1000	Meal	I would not buy		I would not buy	224
Recording1	Participant 1	Cereals	1	8	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	9	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	10	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	11	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	12	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	13	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	14	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	15	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	16	1000	Meal	I would not buy		I would not buy	0
Recording1	Participant 1	Cereals	1	17	1000	Meal	I would not buy		I would not buy	89
Recording1	Participant 1	Cereals	1	18	301	Meal	I would not buy		I would not buy	277
Recording1	Participant 1	Cereals	1	1	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	2	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	3	1000	Meal	Ingredients	Ingredients		733
Recording1	Participant 1	Cereals	1	4	1000	Meal	Ingredients	Ingredients		928
Recording1	Participant 1	Cereals	1	5	1000	Meal	Ingredients	Ingredients		755
Recording1	Participant 1	Cereals	1	6	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	7	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	8	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	9	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	10	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	11	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	12	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	13	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	14	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	15	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	16	1000	Meal	Ingredients	Ingredients		856
Recording1	Participant 1	Cereals	1	17	1000	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	18	301	Meal	Ingredients	Ingredients		0
Recording1	Participant 1	Cereals	1	1	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	2	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	3	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	4	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	5	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	6	1000	Meal	Nutrition Label	Nutrition Label		697
Recording1	Participant 1	Cereals	1	7	1000	Meal	Nutrition Label	Nutrition Label		464
Recording1	Participant 1	Cereals	1	8	1000	Meal	Nutrition Label	Nutrition Label		948
Recording1	Participant 1	Cereals	1	9	1000	Meal	Nutrition Label	Nutrition Label		944
Recording1	Participant 1	Cereals	1	10	1000	Meal	Nutrition Label	Nutrition Label		900
Recording1	Participant 1	Cereals	1	11	1000	Meal	Nutrition Label	Nutrition Label		939
Recording1	Participant 1	Cereals	1	12	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	13	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	14	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	15	1000	Meal	Nutrition Label	Nutrition Label		708
Recording1	Participant 1	Cereals	1	16	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	17	1000	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	18	301	Meal	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Cereals	1	1	1000	Meal	Picture	Picture		860
Recording1	Participant 1	Cereals	1	2	1000	Meal	Picture	Picture		928
Recording1	Participant 1	Cereals	1	3	1000	Meal	Picture	Picture		51
Recording1	Participant 1	Cereals	1	4	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	5	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	6	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	7	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	8	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	9	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	10	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	11	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	12	1000	Meal	Picture	Picture		124
Recording1	Participant 1	Cereals	1	13	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	14	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	15	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	16	1000	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	17	1000	Meal	Picture	Picture		788
Recording1	Participant 1	Cereals	1	18	301	Meal	Picture	Picture		0
Recording1	Participant 1	Cereals	1	1	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	2	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	3	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	4	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	5	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	6	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	7	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	8	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	9	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	10	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	11	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	12	1000	Meal	Price	Price		593
Recording1	Participant 1	Cereals	1	13	1000	Meal	Price	Price		1000
Recording1	Participant 1	Cereals	1	14	1000	Meal	Price	Price		1000
Recording1	Participant 1	Cereals	1	15	1000	Meal	Price	Price		43
Recording1	Participant 1	Cereals	1	16	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	17	1000	Meal	Price	Price		0
Recording1	Participant 1	Cereals	1	18	301	Meal	Price	Price		0
Recording1	Participant 1	Chips	1	1	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	2	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	3	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	4	1000	Snack	I would buy		I would buy	456
Recording1	Participant 1	Chips	1	5	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	6	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	7	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	8	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	9	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	10	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chips	1	11	727	Snack	I would buy		I would buy	12
Recording1	Participant 1	Chips	1	1	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	2	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	3	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	4	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	5	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	6	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	7	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	8	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	9	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	10	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	11	727	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chips	1	1	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	2	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	3	1000	Snack	Ingredients	Ingredients		908
Recording1	Participant 1	Chips	1	4	1000	Snack	Ingredients	Ingredients		124
Recording1	Participant 1	Chips	1	5	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	6	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	7	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	8	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	9	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chips	1	10	1000	Snack	Ingredients	Ingredients		848
Recording1	Participant 1	Chips	1	11	727	Snack	Ingredients	Ingredients		580
Recording1	Participant 1	Chips	1	1	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chips	1	2	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chips	1	3	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chips	1	4	1000	Snack	Nutrition Label	Nutrition Label		236
Recording1	Participant 1	Chips	1	5	1000	Snack	Nutrition Label	Nutrition Label		980
Recording1	Participant 1	Chips	1	6	1000	Snack	Nutrition Label	Nutrition Label		928
Recording1	Participant 1	Chips	1	7	1000	Snack	Nutrition Label	Nutrition Label		896
Recording1	Participant 1	Chips	1	8	1000	Snack	Nutrition Label	Nutrition Label		932
Recording1	Participant 1	Chips	1	9	1000	Snack	Nutrition Label	Nutrition Label		940
Recording1	Participant 1	Chips	1	10	1000	Snack	Nutrition Label	Nutrition Label		16
Recording1	Participant 1	Chips	1	11	727	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chips	1	1	1000	Snack	Picture	Picture		828
Recording1	Participant 1	Chips	1	2	1000	Snack	Picture	Picture		752
Recording1	Participant 1	Chips	1	3	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	4	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	5	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	6	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	7	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	8	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	9	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	10	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	11	727	Snack	Picture	Picture		0
Recording1	Participant 1	Chips	1	1	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	2	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	3	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	4	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	5	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	6	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	7	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	8	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	9	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	10	1000	Snack	Price	Price		0
Recording1	Participant 1	Chips	1	11	727	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	I would buy		I would buy	0
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	I would buy		I would buy	675
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	Ingredients	Ingredients		210
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	Ingredients	Ingredients		936
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	Ingredients	Ingredients		758
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	Ingredients	Ingredients		922
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	Ingredients	Ingredients		928
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	Ingredients	Ingredients		888
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	Ingredients	Ingredients		314
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	Ingredients	Ingredients		0
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	Ingredients	Ingredients		308
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	Ingredients	Ingredients		130
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	Ingredients	Ingredients		940
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	Ingredients	Ingredients		154
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	Nutrition Label	Nutrition Label		874
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	Nutrition Label	Nutrition Label		940
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	Nutrition Label	Nutrition Label		870
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	Nutrition Label	Nutrition Label		0
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	Picture	Picture		638
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	Picture	Picture		458
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	Picture	Picture		14
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	Picture	Picture		522
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	Picture	Picture		706
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	Picture	Picture		0
Recording1	Participant 1	Chocolate bar	1	1	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	2	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	3	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	4	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	5	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	6	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	7	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	8	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	9	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	10	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	11	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	12	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	13	1000	Snack	Price	Price		0
Recording1	Participant 1	Chocolate bar	1	14	981	Snack	Price	Price		0
Recording1	Participant 1	Chocolate cookies	1	1	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	2	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	3	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	4	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	5	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	6	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	7	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	8	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	9	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	10	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	11	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	12	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	13	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	14	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	15	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	16	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	17	1000	Dessert	I would buy		I would buy	316
Recording1	Participant 1	Chocolate cookies	1	18	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	19	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	20	1000	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	21	87	Dessert	I would buy		I would buy	0
Recording1	Participant 1	Chocolate cookies	1	1	1000	Dessert	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate cookies	1	2	1000	Dessert	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate cookies	1	3	1000	Dessert	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate cookies	1	4	1000	Dessert	I would not buy		I would not buy	0
Recording1	Participant 1	Chocolate cookies	1	5	1000	Dessert	I would not buy		I would not buy	0
